archive	file	verdict	distinct	calls	lvos	scanner	path	sha256
AmiDiction.lha	-	NO_BSDSOCKET_BINARY	0	0		scanner=7	comm/tcp/AmiDiction.lha	2c1e451dbba35ead89d19a638973aa75b14549fbdf27e863d4fcf35c4def4af5
AmiDrop.lha	AmiDrop/Setup/AmiDrop_MUI	OK	distinct=15	calls=23	socket,bind,listen,accept,connect,send,recv,setsockopt,getsockname,IoctlSocket,CloseSocket,WaitSelect,Inet_NtoA,gethostbyname,gethostname	scanner=7	comm/net/AmiDrop.lha	45a603ebe4838a239f6f7e6ac1e284b4927637f6f62cf629215623303debc3ff
AmiDrop.lha	AmiDrop/Setup/AmiDrop	OK	distinct=15	calls=23	socket,bind,listen,accept,connect,send,recv,setsockopt,getsockname,IoctlSocket,CloseSocket,WaitSelect,Inet_NtoA,gethostbyname,gethostname	scanner=7	comm/net/AmiDrop.lha	45a603ebe4838a239f6f7e6ac1e284b4927637f6f62cf629215623303debc3ff
AmiDrop_MUI.lha	AmiDrop_MUI/Setup/AmiDrop_MUI	OK	distinct=15	calls=23	socket,bind,listen,accept,connect,send,recv,setsockopt,getsockname,IoctlSocket,CloseSocket,WaitSelect,Inet_NtoA,gethostbyname,gethostname	scanner=7	comm/net/AmiDrop_MUI.lha	87cde3edfc46616e8a575ae7a1b1df5fcc83cd61a4f8cdea7211611ede1cbadf
AmiFSP.lha	fver	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	frmdircmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	frmcmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	fput	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	fprocmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	fmkdir	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	flscmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	fgrabcmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
AmiFSP.lha	fgetcmd	NO_SOCKETBASE_STORE opens=5	distinct=0	calls=0		scanner=7	comm/tcp/AmiFSP.lha	15c99f2af18fbc266e06fad87b3e678ec5f62f19cda7e7acd1ec4145ee45a861
